Gene,GO Terms
PLCH2,GO:0048015
YBX1,GO:0010467 GO:0010468
AMOTL2,GO:0035329 GO:0001667 GO:0030036 GO:0030010 GO:0001525 GO:0030334
SYNJ2,GO:0046856 GO:0010324 GO:0007420 GO:0006066 GO:0044262 GO:0048488 GO:0046434 GO:0044282 GO:0006900
RALGDS,GO:0043547 GO:0007265
DHX37,GO:0000462
TAS2R13,GO:0042221 GO:0051606 GO:0007606
TAOK3,GO:0043408 GO:0006468 GO:0048812 GO:0000165
PDIA4,GO:0006457 GO:0034976
MARCHF6,GO:0030433
RALA,GO:0017157 GO:0099500 GO:0007265
HRNR,GO:0043588 GO:0048871 GO:0048878 GO:0050878
NECTIN1,GO:0007156 GO:1902414 GO:0007157
CDIPT,GO:0006661
MRPL13,GO:0017148 GO:0006414
AFP,GO:0006810
ORC1,GO:0033314 GO:0000086 GO:0140014 GO:0071897 GO:0006270
B4GALT6,GO:0006688
TEKT5,GO:0035082 GO:0061512 GO:0035735 GO:0060294 GO:1905349 GO:0097712
KRT84,GO:0009913 GO:0043588 GO:0045109
ATP2B4,GO:0051480
GRIA4,GO:0035249 GO:0050804
PUM3,GO:0006414 GO:0006417
RPE65,GO:0044242 GO:0016117
MTMR8,GO:0010507 GO:0006914
CADPS2,GO:0017157 GO:0099500 GO:1903532
BMP3,GO:0030509 GO:0009967 GO:0006468 GO:0001934 GO:0090092
RAB9B,GO:0006906 GO:0042147 GO:0070925 GO:0006909 GO:0007040
KCTD1,GO:0045892 GO:0006351
TANC2,GO:0022603 GO:0099175 GO:0010975 GO:0060997
PSG4,GO:0002682 GO:0002376 GO:0007165
FBP2,GO:0006006 GO:0006796 GO:1901135 GO:0019637 GO:0019319 GO:0034637 GO:0009312
USP30,GO:0016579
ALKBH4,GO:0070989
PER3,GO:0042752 GO:0006366 GO:0032922 GO:0000122 GO:0009605 GO:0009416
PLXNB1,GO:0007155 GO:0016477 GO:0007166 GO:0050772 GO:0007162 GO:0007411 GO:0008360 GO:0030334 GO:0043087
KALRN,GO:0007411 GO:0035556
ATP6V0A1,GO:0007035
MAGEB4,GO:0006366 GO:0000122
PGM1,GO:0005975
PPP3CB,GO:0019722
DERL3,GO:0030968 GO:0030433
GPR137C,GO:1904263 GO:0038202
MGA,GO:0006366 GO:0006357 GO:0001708
TRIM23,GO:0006886 GO:0016192
TNFRSF10A,GO:0043065 GO:0008625
RNFT1,GO:0036503 GO:1905897 GO:0048584 GO:1901800
KCNE2,GO:0023052 GO:0051051 GO:0044092 GO:0051649 GO:0140352 GO:1902259 GO:0071805 GO:0086002 GO:0008016 GO:0048523
ZDHHC2,GO:0018345 GO:0006612 GO:0018193
WBP2,GO:0006351 GO:0045893
TTLL6,GO:0018193 GO:0000226
AMFR,GO:0006511 GO:0030968 GO:0070936
DTWD1,GO:0006400
SEPTIN3,GO:0034613 GO:0090148 GO:0061640
TBR1,GO:0010975 GO:0021953 GO:0006366 GO:0006357 GO:0030900 GO:0031175 GO:0001708
TTBK1,GO:0018108 GO:0018105 GO:0007165
CMKLR1,GO:0006955 GO:0007202 GO:0019722 GO:1902531 GO:0007200 GO:0048016 GO:0002429 GO:0071621 GO:0071674 GO:0002690 GO:0006954 GO:0007204 GO:0048246
CNOT7,GO:0000288 GO:0006414
KDELR2,GO:0051651 GO:0006888 GO:0070972
PLCH1,GO:0048015
OLFML2B,GO:0007165
FJX1,GO:0007267
MTMR9,GO:0010507 GO:0006914
PRKCA,GO:0018105 GO:0035556
FAF1,GO:0008219 GO:0010942 GO:0030433
KCNK18,GO:0042391 GO:0071805
AKAP13,GO:0007266 GO:0035023 GO:0043123 GO:0006351 GO:0051092 GO:0007249 GO:0007186
ICAM3,GO:0007155
ETS2,GO:0006366 GO:0006357 GO:0030154
MAZ,GO:0006366 GO:0006357
DNAH8,GO:0061512 GO:0035735 GO:1905349 GO:0097712 GO:0036158
MSH3,GO:0006312 GO:0006298
LETM2,GO:0006875
ARL11,GO:0006886 GO:0016192
RPL13A,GO:0017148 GO:0006414
GRIN3A,GO:0035249 GO:0035235 GO:0050804
GSTM5,GO:0006749
HTR3B,GO:0007268 GO:0042391 GO:0050877 GO:0034220 GO:0007165
NADK2,GO:0008152
ZDHHC8,GO:0018345
MCUR1,GO:0070509 GO:0060401 GO:0051560 GO:0070588 GO:1990542
TCEA2,GO:0006351
STX6,GO:0006906 GO:0006886 GO:0051640
DDX46,GO:0000398
CAPRIN2,GO:0090263 GO:0060070
CPNE4,GO:0070887
OLFML1,GO:0007165
TESK1,GO:0051492 GO:0032233 GO:0043149
FYB2,GO:0006955 GO:0050852 GO:0007229 GO:0072659
GSTA2,GO:0006749 GO:0070887
ALMS1,GO:0032886 GO:0010564 GO:0033043 GO:0007099 GO:0044087
BATF,GO:0006366 GO:0006357
EFL1,GO:0006414
SNRPN,GO:0000398
TNFRSF13C,GO:0042100 GO:0007159 GO:0042098 GO:0042102 GO:0030888
NLRP9,GO:0006954 GO:0050727 GO:0009605
SHOX2,GO:0006366 GO:0006357
CCN4,GO:0008219 GO:0007155 GO:0007165 GO:0060548
ARHGAP9,GO:0043087
HERC5,GO:0016567 GO:0006511
SSTR4,GO:0071383 GO:0007218
ILDR2,GO:0048513
OR5B3,GO:0007186 GO:0007606
ZBTB8OS,GO:0006388
RNF20,GO:0010390
SKI,GO:0030509 GO:0030514
PLA2G2A,GO:0006644
FGD2,GO:0046847 GO:0007010
PSG6,GO:0002682 GO:0002376 GO:0007165
ZNF449,GO:0006366 GO:0006357
CD80,GO:0007159 GO:0006955 GO:0007166 GO:0042130 GO:0042098 GO:0042102 GO:0071222
YY1AP1,GO:0006351 GO:0006355
IL12B,GO:0019221
ELOVL7,GO:0006633 GO:0000038 GO:0030148
SAR1A,GO:0048199 GO:0051050 GO:0060627 GO:0048522 GO:0090114 GO:0033043 GO:0006886 GO:0065003 GO:0033157 GO:0043254
RAB40A,GO:0017157 GO:0009306 GO:0099500 GO:0051640 GO:0072659
AURKAIP1,GO:0006397
VDR,GO:0006366 GO:0030154 GO:0000122 GO:0045944
SRMS,GO:0030154 GO:0007169 GO:0045087
RAPGEF4,GO:0043547 GO:0007265
BTG4,GO:0008285 GO:0140014 GO:0008283 GO:0045930
PSMF1,GO:0006511
EFNA2,GO:0030316 GO:0007411 GO:0007169
IL1B,GO:0006954 GO:0010467 GO:0010628 GO:0019221 GO:0071222
DBNL,GO:0061024
GTF2F1,GO:0006367
SYT4,GO:0023061 GO:0015850 GO:0043269 GO:0071705 GO:0006812 GO:0017157 GO:0099500 GO:0017156 GO:0070887
U2AF1L4,GO:0000398
NDNF,GO:0018209 GO:0030198 GO:0030204
MTREX,GO:0006401 GO:0000460
CDH11,GO:0007275 GO:0034332 GO:0007043 GO:0000902 GO:0098742
OR9Q2,GO:0007186 GO:0007606
VWF,GO:0042246 GO:0007596 GO:0031589
PCDH12,GO:0007155
PASD1,GO:0006366 GO:0006357 GO:0032922
MYCN,GO:0006366 GO:0006357
SHC2,GO:0007169
IST1,GO:0008104
NOTCH3,GO:0007219 GO:0007411
ARHGAP1,GO:0060627 GO:0060341 GO:0007264 GO:0051051 GO:0048523 GO:0032456
FAM171A1,GO:0043149 GO:0008360 GO:0000902
ENO3,GO:0006096
PMS1,GO:0006298
ANO9,GO:0098656 GO:0006821 GO:0098660
SF1,GO:0048024 GO:0000398
MKNK1,GO:0018105 GO:0046777 GO:0035556
GALM,GO:0006006 GO:0044282 GO:0016052
MAPK12,GO:0035556
TRBV6-4,GO:0007166
LARP1B,GO:0045727 GO:0006414
AKAP3,GO:0008104
PLEKHM2,GO:0008104 GO:0007030 GO:0007009 GO:0032880 GO:0032418 GO:0051130
MINDY1,GO:0071108
TMOD3,GO:0030239 GO:0006936
GSTA4,GO:0006749 GO:0070887
TNFRSF10B,GO:0043065 GO:0008625
CD86,GO:0007159 GO:0006955 GO:0007166 GO:0042130 GO:0042098 GO:0042102 GO:0071222
PDF,GO:0018193
SOAT1,GO:0030258 GO:0008203 GO:0033344
SLC17A4,GO:0006820
SLC27A4,GO:0007584 GO:0009062 GO:0000038 GO:0015718 GO:0015909
