Gene,GO Terms
ZDHHC16,GO:0001654 GO:0006915 GO:0006974 GO:0007507 GO:0018345 GO:0021537
C20ORF141,
STYK1,GO:0006468 GO:0042981
GFOD1,
DAXX,GO:0006355 GO:0001934 GO:0006334 GO:0006338 GO:0007254 GO:0008625 GO:0010468 GO:0010629 GO:0030521 GO:0031396 GO:0034605 GO:0034620 GO:0045860 GO:0045892 GO:0045893 GO:0071276 GO:0071280 GO:0072738 GO:1901216 GO:1903936
LYSMD4,
NIF3L1,GO:0000122 GO:0030182 GO:0045893
BMP8A,GO:0001503 GO:0002024 GO:0030154 GO:0046676 GO:0051216 GO:0097009 GO:0010862 GO:0060395
ETS2,GO:0000122 GO:0001501 GO:0001712 GO:0007498 GO:0045944 GO:0090009 GO:0030154 GO:0006357
ITGA1,GO:0007160 GO:0008285 GO:0030593 GO:0032516 GO:0042059 GO:0042311 GO:0043410 GO:0043525 GO:0045123 GO:0048812 GO:0098609 GO:0033627 GO:0007229
ELOVL7,GO:0006636 GO:0019367 GO:0034626 GO:0035338 GO:0042761 GO:0030148 GO:0034625
QDPR,GO:0001889 GO:0006520 GO:0010044 GO:0010288 GO:0022900 GO:0033762 GO:0051066 GO:0071466 GO:0006559 GO:0006729
ELOA,GO:0006357 GO:0006367 GO:0006368
CAPN11,GO:0006508
PMS1,GO:0009410 GO:0006298
LHCGR,GO:0006622 GO:0007186 GO:0007187 GO:0007189 GO:0007190 GO:0007200 GO:0007283 GO:0007417 GO:0009410 GO:0010524 GO:0030539 GO:0032962 GO:0042700 GO:0046544 GO:0046886 GO:0050482 GO:0050850 GO:0050890 GO:0051281 GO:0060065 GO:0071371 GO:0071373 GO:0072520 GO:0090030 GO:0001541 GO:0008584 GO:0022602 GO:0009755
RXRG,GO:0007422 GO:0007507 GO:0007519 GO:0030182 GO:0031641 GO:0043401 GO:0048384 GO:0048856 GO:0030154 GO:0045944 GO:0032526
SOS2,GO:0001782 GO:0008286 GO:0033081 GO:0042129 GO:0051057 GO:2000973 GO:0043547 GO:0007265
TECPR2,GO:0006914 GO:0032527
CFHR1,GO:0032091 GO:0051838 GO:0006956
RTTN,GO:0007368 GO:0010457 GO:0032053 GO:0007099
LIPH,GO:0006654 GO:0016042
ATMIN,GO:0006974 GO:0010628 GO:0044458 GO:0045893 GO:0045944 GO:1902857 GO:0006357
EIF3H,GO:0001732 GO:0006413 GO:0006446 GO:0032435
CFDP1,GO:0007155 GO:0008150 GO:0008360 GO:0042127 GO:0044346 GO:2000270 GO:0006338
DIAPH3-AS1,
TENT5D,GO:0048255
HYAL3,GO:0001552 GO:0005975 GO:0006954 GO:0007341 GO:0009615 GO:0030214 GO:0046677 GO:0051216 GO:0071347 GO:0071356 GO:0071493 GO:2000355 GO:2000368
GTF2F1,GO:0006366 GO:0006367 GO:0006368 GO:0009615 GO:0032091 GO:0032968 GO:0045944
LETM1,GO:0006851 GO:0007007 GO:0034214 GO:0042407 GO:0051260 GO:0051560 GO:0051562 GO:0099093 GO:0140141 GO:1900069 GO:1902600 GO:0030003
BATF,GO:0001819 GO:0002320 GO:0006357 GO:0006974 GO:0030330 GO:0042832 GO:0043011 GO:0045064 GO:0045190 GO:0045944 GO:0060218 GO:0072539 GO:0072540 GO:0140467 GO:2000319
CENPA,GO:0000132 GO:0000281 GO:0034080 GO:0051382 GO:0061644 GO:0071459
FTH1,GO:0006879 GO:0006955 GO:0008285 GO:0048147 GO:0006826 GO:0006880
ZGLP1,GO:0000122 GO:0007283 GO:0045944 GO:0048599 GO:0006357
PRDM2,GO:0000122 GO:0006338 GO:0006355 GO:0008340 GO:0016571 GO:0045944 GO:0006357
DCAF6,GO:0045944 GO:0016567
KRTAP12-2,
LAMA4,GO:0007155 GO:0030155 GO:0030334 GO:0045995 GO:0120163
KIRREL2,GO:0001933 GO:0007155 GO:0098609
EFL1,GO:0006414 GO:0042256 GO:0046039
SMG8,GO:0000184 GO:0045859
SLC16A12,GO:0015881 GO:0046449 GO:0150104 GO:0015718
KRTAP19-8,
DNM1L,GO:0000266 GO:0070584 GO:0065003 GO:0001836 GO:0006816 GO:0006897 GO:0007005 GO:0010468 GO:0010821 GO:0016559 GO:0043065 GO:0043653 GO:0048312 GO:0048511 GO:0050714 GO:0051259 GO:0060047 GO:0061025 GO:0070266 GO:0070585 GO:0090023 GO:0090141 GO:0090149 GO:0090200 GO:0160040 GO:1900063 GO:1903146 GO:1903578 GO:1904666 GO:2001244
MAPRE3,GO:0008104 GO:0031113 GO:0045737 GO:0045860 GO:0045893 GO:0051301 GO:1903033 GO:0051225 GO:0035372 GO:0031110
GCNT4,GO:0001780 GO:0002121 GO:0005975 GO:0006493 GO:0016266 GO:0042403 GO:0048729 GO:0060993
ZNF835,GO:0006357
OR51B5,GO:0007186 GO:0007608 GO:0050911
ZNF426,GO:0006355
OGFOD1,GO:0006449 GO:0008283 GO:0018126 GO:0019511 GO:0034063
MOV10,GO:0010526 GO:0035195 GO:0035279 GO:0051607 GO:0061014 GO:0061158 GO:0141008 GO:0150011 GO:0035194
TMIGD2,GO:0001819 GO:0031295 GO:0042104 GO:0045766 GO:0050853
AKR1D1,GO:0006699 GO:0006707 GO:0007586 GO:0008207 GO:0008209 GO:0030573
LIPG,GO:0006629 GO:0007584 GO:0008283 GO:0009395 GO:0010983 GO:0032376 GO:0034375 GO:0042632 GO:0043691 GO:0050746 GO:0055091 GO:0016042
NLRP5,GO:0006887 GO:0007015 GO:0032879 GO:0040019 GO:0051293 GO:0051302 GO:0051656 GO:0060471 GO:0050727
PSG4,GO:0007565 GO:0007165 GO:0002682
NCBP1,GO:0000184 GO:0000245 GO:0000380 GO:0000398 GO:0002191 GO:0006370 GO:0006401 GO:0006406 GO:0006408 GO:0006446 GO:0008334 GO:0008380 GO:0030307 GO:0031053 GO:0031124 GO:0031442 GO:0032968 GO:0035195 GO:0042789 GO:0048026 GO:0051607 GO:0098789 GO:1905216 GO:0050684
ALMS1,GO:0016197 GO:0051492 GO:0120162 GO:0046599
GARIN1A,GO:0001675
BMP3,GO:0001501 GO:0001649 GO:0007267 GO:0051216 GO:0010862 GO:0060395 GO:0030509
