Uniprot,HUGO Gene Name
Q969W1,ZDHHC16
Q9NUB4,C20ORF141
Q6J9G0,STYK1
Q9NXC2,GFOD1
Q9UER7,DAXX
Q5XG99,LYSMD4
Q9GZT8,NIF3L1
Q7Z5Y6,BMP8A
P15036,ETS2
P56199,ITGA1
A1L3X0,ELOVL7
P09417,QDPR
Q14241,ELOA
Q9UMQ6,CAPN11
P54277,PMS1
P22888,LHCGR
P48443,RXRG
Q07890,SOS2
O15040,TECPR2
Q03591,CFHR1
Q86VV8,RTTN
Q8WWY8,LIPH
O43313,ATMIN
O15372,EIF3H
Q9UEE9,CFDP1
Q8NEK8,TENT5D
O43820,HYAL3
P35269,GTF2F1
O95202,LETM1
Q16520,BATF
P49450,CENPA
P02794,FTH1
P0C6A0,ZGLP1
Q13029,PRDM2
Q58WW2,DCAF6
P59991,KRTAP12-2
Q16363,LAMA4
Q6UWL6,KIRREL2
Q7Z2Z2,EFL1
Q8ND04,SMG8
Q6ZSM3,SLC16A12
Q3LI54,KRTAP19-8
O00429,DNM1L
Q9UPY8,MAPRE3
Q9P109,GCNT4
Q9Y2P0,ZNF835
Q9H339,OR51B5
Q9BUY5,ZNF426
Q8N543,OGFOD1
Q9HCE1,MOV10
Q96BF3,TMIGD2
P51857,AKR1D1
Q9Y5X9,LIPG
P59047,NLRP5
Q00888,PSG4
Q09161,NCBP1
Q8TCU4,ALMS1
Q6NXP2,GARIN1A
P12645,BMP3
P35232,PHB1
Q9HBM1,SPC25
Q9HCN3,PGAP6
Q6UWY5,OLFML1
P63162,SNRPN
O00562,PITPNM1
Q01064,PDE1B
Q9BYD2,MRPL9
A2RU67,FAM234B
Q6IMN6,CAPRIN2
Q68CL5,TPGS2
Q16678,CYP1B1
P50539,MXI1
Q6WRI0,IGSF10
Q16821,PPP1R3A
A5PL33,KRBA1
Q8IWI9,MGA
Q9GZV1,ANKRD2
Q96EY1,DNAJA3
Q3LI61,KRTAP20-2
P51570,GALK1
P29460,IL12B
P17612,PRKACA
P50406,HTR6
P82664,MRPS10
Q99758,ABCA3
P62508,ESRRG
Q9NZP0,OR6C3
Q13287,NMI
Q9HBH1,PDF
Q96P15,SERPINB11
Q9UPR5,SLC8A2
P16422,EPCAM
Q71H61,ILDR2
Q6NYC8,PPP1R18
Q9P1P5,TAAR2
Q8IV76,PASD1
O75676,RPS6KA4
Q14746,COG2
Q8NHC8,OR2T6
Q969G9,NKD1
Q8NGN0,OR4D5
Q9H4Q3,PRDM13
Q96NE9,FRMD6
P15814,IGLL1
P33681,CD80
Q6UB99,ANKRD11
Q9NWH7,SPATA6
P13500,CCL2
Q9NSD9,FARSB
Q9UKM7,MAN1B1
Q8N3Z0,PRSS35
A2RUB1,MEIOC
Q9Y2G3,ATP11B
Q96QI5,HS3ST6
Q96RT6,CTAGE1
Q9HC47,CTAGE1
P29323,EPHB2
Q9UHB7,AFF4
Q9NS68,TNFRSF19
P36382,GJA5
A1A5B4,ANO9
Q9ULV5,HSF4
Q2VYF4,LETM2
O43422,THAP12
O95625,ZBTB11
Q86U42,PABPN1
Q8IWT0,ZBTB8OS
Q9BSY4,CHCHD5
Q3SXP7,SHISAL1
Q8N0X7,SPART
P57082,TBX4
Q8TE04,PANK1
Q9UGK8,SERGEF
Q96A28,SLAMF9
Q9NZ20,PLA2G3
Q92997,DVL3
Q96P26,NT5C1B
Q96JC4,ZNF479
Q5MNV8,FBXO47
P35270,SPR
Q9NX57,RAB20
Q6Q759,SPAG17
Q8TAA1,RNASE11
A4D1E1,ZNF804B
Q8NDX1,PSD4
A0A0A0MT08,MROH7-TTC4
F8WC02,MROH7-TTC4
Q6NT04,TIGD7
Q8NDZ0,BEND2
Q6ZMN7,PDZRN4
Q8NH48,OR5B3
O95140,MFN2
P48668,KRT6C
P24046,GABRR1
Q12968,NFATC3
Q6ZNG2,DBX2
Q2WGJ6,KLHL38
O43186,CRX
Q9H869,YY1AP1
Q6IPT2,GARIN5A
Q8IYS2,KIAA2013
Q14093,CYLC2
P78345,RPP38
P56645,PER3
P36871,PGM1
Q9NWT8,AURKAIP1
Q6UWN5,LYPD5
P35218,CA5A
Q15546,MMD
Q9H2A2,ALDH8A1
P04179,SOD2
Q3SY46,KRTAP13-3
Q9BWV7,TTLL2
P54886,ALDH18A1
Q9BY41,HDAC8
Q9NTK5,OLA1
Q9NZD1,GPRC5D
Q99805,TM9SF2
Q9HB90,RRAGC
Q96C23,GALM
P52737,ZNF136
O75071,EFCAB14
P48058,GRIA4
Q9H0Y0,ATG10
Q07960,ARHGAP1
A1A4G5,LNP1
P67809,YBX1
Q96A59,MARVELD3
O60890,OPHN1
Q8TDN4,CABLES1
Q9UIJ5,ZDHHC2
Q7Z5V6,PPP1R32
P0DTE5,UGT2A2
Q13829,TNFAIP1
O00180,KCNK1
O14531,DPYSL4
Q9BYC8,MRPL32
O95801,TTC4
Q9NSY2,STARD5
B1AL88,NALF1
Q8NFM7,IL17RD
Q719H9,KCTD1
Q96NL1,TMEM74
Q9NSI8,SAMSN1
O43752,STX6
Q03692,COL10A1
Q9BTX3,TMEM208
Q96CN9,GCC1
P31937,HIBADH
Q96QB1,DLC1
O75197,LRP5
Q7Z4T9,CFAP91
Q7Z3U7,MON2
Q9H3H9,TCEAL2
Q96FG2,ELMOD3
Q9C002,C15ORF48
Q96LJ8,UBXN10
Q8NGY6,OR6N2
Q8WUM0,NUP133
Q5TGY1,TMCO4
Q15942,ZYX
Q9BT81,SOX7
A0A075B711,TRAJ29
O43157,PLXNB1
Q9P2H5,USP35
Q86WC4,OSTM1
P17544,ATF7
Q68BL8,OLFML2B
P52735,VAV2
O60229,KALRN
P50876,RNF144A
Q9NSB2,KRT84
Q13488,TCIRG1
A1A4F0,SLC66A1L
Q8N3J9,ZNF664
P58417,NXPH1
Q8N1Q1,CA13
A6NFD8,HELT
Q9Y6G5,COMMD10
Q96RJ3,TNFRSF13C
Q96PP4,TSGA13
Q8NDD1,C1ORF131
Q8N5C8,TAB3
Q6L8G5,KRTAP5-10
Q8N3F9,GPR137C
Q9NS84,CHST7
Q86YC3,NRROS
Q99836,MYD88
Q9BZJ8,GPR61
O00506,STK25
Q96B97,SH3KBP1
Q6P9H4,CNKSR3
P31645,SLC6A4
P01031,C5
O43868,SLC28A2
O43903,GAS2
Q9ULD2,MTUS1
O43257,ZNHIT1
P80370,DLK1
Q9Y484,WDR45
O95388,CCN4
Q5JUR7,TEX30
Q9Y2J8,PADI2
P20061,TCN1
P0CG08,GPR89B
Q93050,ATP6V0A1
P50570,DNM2
Q9BQI3,EIF2AK1
O43665,RGS10
Q8TED0,UTP15
Q96KD3,GARIN1B
A0PJZ3,GXYLT2
Q96M53,TBATA
Q9BXY5,CAPS2
Q9UJS0,SLC25A13
O60330,PCDHGA12
Q6UWI2,PARM1
Q6ZP29,SLC66A1
Q969S0,SLC35B4
Q9BQI5,SGIP1
Q7Z442,PKD1L2
O15327,INPP4B
Q9UIC8,LCMT1
Q8NFQ5,BPIFB6
Q5T5Y3,CAMSAP1
O43795,MYO1B
Q9ULX6,AKAP8L
Q9BRQ3,NUDT22
P02786,TFRC
Q6ICC9,RTL6
Q8TB73,NDNF
Q9H2B2,SYT4
Q86XT4,TRIM50
Q8NEP9,ZNF555
Q5TCY1,TTBK1
